epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.0385691374540329,1.0,0.2298570699266093,0.9322253184713376
2,0.5140370726585388,0.90625,0.1586553750257156,0.9553144904458599
3,0.10785915702581406,0.9375,0.12273898273024257,0.9642714968152867
4,0.03576831892132759,1.0,0.11104345954302106,0.9692476114649682
5,0.08756841719150543,0.96875,0.10722816031007985,0.9683519108280255
6,0.089955635368824,0.9375,0.09949858870526337,0.9705414012738853
7,0.02501937933266163,1.0,0.09377272931338365,0.9719347133757962
8,0.008912385441362858,1.0,0.09086923344931298,0.972531847133758
9,0.03281856328248978,1.0,0.08820699372182,0.9730294585987261
10,0.09898290783166885,0.96875,0.08713862638821185,0.9735270700636943
11,0.022328343242406845,1.0,0.08541405987836848,0.9746218152866242
12,0.025611858814954758,1.0,0.08699870723741615,0.9740246815286624
13,0.003360122675076127,1.0,0.08646006986278608,0.9734275477707006
14,0.040132343769073486,1.0,0.08602010859284034,0.9741242038216561
15,0.02208913303911686,1.0,0.08565006022409026,0.9741242038216561
16,0.028593884781003,1.0,0.08445250298338497,0.974422770700637
17,0.01729101873934269,1.0,0.08517174409097357,0.9745222929936306
18,0.11243997514247894,0.96875,0.08498705644864933,0.9743232484076433
19,0.0022300060372799635,1.0,0.08502707474903577,0.9745222929936306
20,0.0032288488000631332,1.0,0.0849670800539831,0.9746218152866242
