epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7752222418785095,0.75,1.2107884629516845,0.5657842356687898
2,1.7816901206970215,0.4375,0.9107836200173494,0.6773487261146497
3,1.3100084066390991,0.75,0.7639882127950146,0.730593152866242
4,0.3889361023902893,0.9375,0.738336127085291,0.7461186305732485
5,0.36854177713394165,0.875,0.6773323841915009,0.7654259554140127
6,0.4510585069656372,0.8125,0.6575187401027437,0.7770700636942676
7,0.2807696461677551,0.8125,0.6997516967688396,0.7698049363057324
8,0.3015574514865875,0.875,0.6929578164200874,0.7862261146496815
9,0.01896553859114647,1.0,0.7056427875142188,0.7854299363057324
10,0.12168574333190918,0.9375,0.7628428854380443,0.7864251592356688
11,0.09016109257936478,1.0,0.7985033265724304,0.7834394904458599
12,0.07802591472864151,1.0,0.8325293916425888,0.7834394904458599
13,0.03569210693240166,1.0,0.8796295694484833,0.783937101910828
14,0.04823942482471466,1.0,0.9139051733502916,0.7822452229299363
15,0.27995866537094116,0.9375,0.942812473530982,0.7824442675159236
16,0.04487736150622368,1.0,0.9662311422597071,0.783937101910828
17,0.01410064660012722,1.0,0.9990486284350134,0.7829418789808917
18,0.0064246137626469135,1.0,1.0276541903520087,0.7816480891719745
19,0.029843024909496307,1.0,1.0422618157544714,0.7827428343949044
20,0.005606122314929962,1.0,1.055593974081574,0.7821457006369427
